Lead ID,Cost Per Lead,Requested Loan Amount,Time in Business (Months),Annual Revenue Amount,SelfGradedCredit,State,Business Type,Creation Date,Create Time,Lead Status,Conversion Status,Funded Amount,Funded Revenue
504031272,60,14999,93,1200000,Poor,NY,E Corp,9/8/17,10:29:00 AM,Confirmed,Funded,56228.0,5622.8
504031627,60,74999,272,3500000,Excellent,CA,E Corp,9/8/17,1:31:00 PM,Open,,,
504031898,60,29999,15,550000,Poor,WI,A Corp,9/8/17,10:53:00 AM,Pending,,,
504032245,60,29999,269,100000,Good,IL,E Corp,9/8/17,11:05:00 AM,Failed,,,
504032254,60,29999,228,300000,Fair,AL,B Corp,9/8/17,11:05:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504032273,60,250000,79,100000,Good,IL,A Corp,9/8/17,11:08:00 AM,Open,,,
504032293,60,14999,104,304000,Poor,NY,A Corp,9/8/17,11:08:00 AM,Failed,,,
504032381,60,149999,81,140000,Excellent,CA,C Corp,9/8/17,11:11:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504032505,60,15000,43,150000,Poor,CA,B Corp,9/8/17,11:14:00 AM,Confirmed,Funded,13395.0,1339.5
504032626,60,14999,135,125000,Poor,OR,A Corp,9/8/17,11:20:00 AM,Failed,,,
504032730,60,29999,28,120000,Fair,MA,A Corp,9/8/17,4:37:00 PM,Open,,,
504032799,60,30000,27,400000,Fair,NC,E Corp,9/8/17,11:26:00 AM,Failed,,,
504033010,60,50000,66,125000,Excellent,NY,A Corp,9/8/17,11:32:00 AM,Failed,,,
504033126,60,100000,20,1349800,Fair,OR,A Corp,9/8/17,11:35:00 AM,Failed,,,
504033292,60,50000,88,1500000,Fair,PA,A Corp,9/8/17,11:41:00 AM,Failed,,,
504033451,60,30000,70,180000,Fair,CT,B Corp,9/8/17,11:50:00 AM,Open,,,
504033641,60,25000,31,250000,Poor,OH,A Corp,9/8/17,11:56:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504034117,60,14999,544,106000,Fair,CA,E Corp,9/8/17,12:14:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504034205,60,17000,397,1500000,Excellent,NJ,E Corp,9/8/17,12:20:00 PM,Activated,,,
504046391,60,50000,121,100000,Fair,CA,E Corp,9/9/17,5:17:00 AM,Failed,,,
504046437,60,14999,163,2544485,Poor,CA,B Corp,9/9/17,5:23:00 AM,Open,,,
504046835,60,74999,21,200000,Good,NJ,A Corp,9/9/17,5:59:00 AM,Confirmed,Lost,0.0,0.0
504047618,60,250000,103,11000000,Excellent,AZ,A Corp,9/9/17,6:50:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504048508,60,29999,167,400000,Good,ID,E Corp,9/9/17,7:44:00 AM,Failed,,,
504048660,60,250000,80,600000,Poor,OH,A Corp,9/9/17,7:53:00 AM,Failed,,,
504048977,25,74999,17,120000,Fair,CA,E Corp,9/9/17,8:11:00 AM,Failed,,,
504049017,60,149999,27,200000,Good,PA,A Corp,9/9/17,8:11:00 AM,Activated,,,
504049502,60,29999,32,150000,Fair,GA,A Corp,9/9/17,8:38:00 AM,Failed,,,
504049568,60,50000,74,225000,Poor,CA,B Corp,9/9/17,8:44:00 AM,Open,,,
504049784,60,50000,54,1200000,Fair,CA,B Corp,9/9/17,8:53:00 AM,Failed,,,
504051278,60,24000,142,6000000,Excellent,NE,C Corp,9/9/17,10:08:00 AM,Open,,,
504051421,60,29999,164,138000,Fair,NY,E Corp,9/9/17,10:14:00 AM,Failed,,,
504051594,60,50000,29,1000000,Good,NY,C Corp,9/9/17,10:23:00 AM,Failed,,,
504052178,60,25000,69,200000,Good,NY,E Corp,9/9/17,10:50:00 AM,Failed,,,
504052273,60,5000,30,120000,Poor,NC,B Corp,9/9/17,10:53:00 AM,Failed,,,
504052677,60,50000,123,400000,Poor,MI,C Corp,9/9/17,11:14:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504053921,60,74999,23,975000,Fair,GA,A Corp,9/9/17,12:20:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504054339,60,149999,372,300000,Good,TX,A Corp,9/9/17,12:41:00 PM,Failed,,,
504054582,60,14999,45,200000,Fair,NY,C Corp,9/9/17,12:53:00 PM,Failed,,,
504054762,60,29999,104,650000,Poor,NY,A Corp,9/9/17,1:02:00 PM,Failed,,,
504054893,60,20000,92,1000000,Poor,CO,A Corp,9/9/17,1:11:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504055126,60,149999,164,750000,Excellent,CA,C Corp,9/9/17,1:23:00 PM,Activated,,,
504055215,60,74999,116,352000,Good,CA,B Corp,9/9/17,1:26:00 PM,Open,,,
504055369,60,149999,164,100000,Good,NV,B Corp,9/9/17,1:35:00 PM,Open,,,
504056027,60,200000,136,160000,Excellent,FL,E Corp,9/9/17,2:08:00 PM,Failed,,,
504056211,25,25000,14,160000,Excellent,NJ,B Corp,9/9/17,2:17:00 PM,Failed,,,
504056297,60,74999,233,390000,Excellent,CA,E Corp,9/9/17,2:20:00 PM,Failed,,,
504056680,60,44999,153,4300000,Fair,FL,E Corp,9/9/17,2:41:00 PM,Activated,,,
504056838,60,14999,330,144000,Good,CA,B Corp,9/9/17,2:53:00 PM,Failed,,,
504056877,60,29999,104,525000,Excellent,PA,A Corp,9/9/17,2:53:00 PM,Open,,,
504056941,25,250000,13,150000,Good,TX,A Corp,9/9/17,2:56:00 PM,Activated,,,
504057229,60,14999,104,300000,Poor,FL,E Corp,9/9/17,3:14:00 PM,Failed,,,
504057651,60,100000,115,1700000,Excellent,NY,E Corp,9/9/17,3:41:00 PM,Failed,,,
504057838,60,149999,27,450000,Good,TX,A Corp,9/9/17,3:50:00 PM,Failed,,,
504058241,25,25000,12,175000,Good,AZ,A Corp,9/9/17,4:17:00 PM,Open,,,
504058672,60,14999,28,130000,Excellent,LA,A Corp,9/9/17,4:47:00 PM,Activated,,,
504059188,60,29999,62,160000,Fair,UT,A Corp,9/10/17,5:23:00 PM,Failed,,,
504059596,25,150000,20,160000,Good,KS,B Corp,9/10/17,5:53:00 PM,Failed,,,
504059831,60,250000,543,320000,Good,MO,B Corp,9/10/17,6:11:00 PM,Failed,,,
504059981,60,50000,13,800000,Fair,NC,E Corp,9/10/17,6:23:00 PM,Confirmed,Funded,50000.0,10000.0
504060013,60,10000,351,250000,Poor,CA,B Corp,9/10/17,6:23:00 PM,Failed,,,
504060101,60,57000,303,600000,Poor,OH,E Corp,9/10/17,6:32:00 PM,Failed,,,
504060409,60,149999,116,1400000,Excellent,TX,A Corp,9/10/17,6:53:00 PM,Failed,,,
504060876,60,74999,29,240000,Fair,WA,A Corp,9/10/17,7:29:00 PM,Open,,,
504060946,60,20000,66,100000,Fair,NE,E Corp,9/10/17,7:35:00 PM,Activated,,,
504061437,60,200000,92,5000000,Good,MA,B Corp,9/10/17,8:20:00 PM,Failed,,,
504061463,60,40000,369,125000,Good,ID,B Corp,9/10/17,9:27:00 AM,Failed,,,
504065395,60,50000,138,400000,Poor,TN,A Corp,9/10/17,7:08:00 AM,Open,,,
504065703,60,149999,92,3000000,Excellent,TX,C Corp,9/10/17,7:29:00 AM,Open,,,
504065782,60,14999,30,100000,Poor,TX,A Corp,9/10/17,7:32:00 AM,Activated,,,
504066015,60,5000,26,100000,Poor,MO,A Corp,9/10/17,7:47:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504066174,60,149999,33,600000,Good,VA,E Corp,9/10/17,7:59:00 AM,Failed,,,
504066229,60,149999,116,1066000,Fair,AL,A Corp,9/10/17,8:05:00 AM,Failed,,,
504066447,60,50000,88,1500000,Fair,MD,C Corp,9/10/17,8:20:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504067105,60,140000,372,1500000,Good,TX,D Corp,9/10/17,9:02:00 AM,Failed,,,
504067152,60,5000,150,250000,Poor,TX,B Corp,9/10/17,9:05:00 AM,Failed,,,
504067209,25,100000,17,160000,Fair,OH,A Corp,9/10/17,9:08:00 AM,Failed,,,
504067426,60,44999,127,175000,Fair,KY,D Corp,9/10/17,9:26:00 AM,Open,,,
504067504,60,74999,28,100000,Excellent,FL,A Corp,9/10/17,9:29:00 AM,Failed,,,
504067984,60,25000,13,500000,Poor,WA,A Corp,9/10/17,10:02:00 AM,Failed,,,
504068065,60,14999,155,150000,Fair,NY,A Corp,9/10/17,10:08:00 AM,Pending,,,
504068115,60,100000,48,400000,Excellent,MD,E Corp,9/10/17,10:11:00 AM,Failed,,,
504068270,60,20000,222,300000,Poor,TX,B Corp,9/10/17,10:23:00 AM,Open,,,
504068283,60,30000,136,208000,Fair,LA,A Corp,9/10/17,10:23:00 AM,Open,,,
504068410,60,74999,60,140000,Fair,CA,A Corp,9/10/17,10:32:00 AM,Failed,,,
504068488,60,149999,109,150000,Good,TX,A Corp,9/10/17,10:38:00 AM,Failed,,,
504068614,60,200000,12,600000,Excellent,NM,A Corp,9/10/17,10:44:00 AM,Activated,,,
504070221,60,14999,61,100000,Poor,AR,A Corp,9/10/17,12:14:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504070365,60,149999,110,575000,Excellent,CA,E Corp,9/10/17,12:23:00 PM,Open,,,
504070616,60,50000,26,100000,Poor,TX,A Corp,9/10/17,12:38:00 PM,Activated,,,
504070724,60,100000,87,1500000,Good,CA,C Corp,9/10/17,12:44:00 PM,Activated,,,
504071075,60,100000,29,396000,Excellent,CA,B Corp,9/10/17,1:02:00 PM,Failed,,,
504071101,25,200000,12,144800,Fair,TX,A Corp,9/10/17,1:05:00 PM,Failed,,,
504071242,60,25000,32,100000,Fair,IA,A Corp,9/10/17,1:14:00 PM,Failed,,,
504071564,60,100000,163,4500000,Excellent,LA,A Corp,9/10/17,1:32:00 PM,Confirmed,Funded,210000.0,21000.0
504071889,60,14999,421,500000,Poor,CA,B Corp,9/10/17,1:50:00 PM,Failed,,,
504072233,60,6000,22,250000,Poor,AR,A Corp,9/10/17,2:11:00 PM,Failed,,,
504072859,60,250000,176,900000,Fair,IL,E Corp,9/10/17,2:47:00 PM,Open,,,
504072987,60,150000,416,105000,Fair,NV,E Corp,9/10/17,2:53:00 PM,Activated,,,
504073507,60,29999,107,101000,Good,WA,C Corp,9/10/17,3:23:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504073566,60,74999,130,172000,Fair,NJ,A Corp,9/10/17,3:26:00 PM,Open,,,
504073684,60,30000,102,146000,Fair,FL,E Corp,9/10/17,3:32:00 PM,Failed,,,
504075459,60,44999,281,387438,Fair,MI,C Corp,9/11/17,5:23:00 PM,Open,,,
504075581,60,221000,300,750000,Excellent,MI,C Corp,9/11/17,5:32:00 PM,Failed,,,
504075587,60,10000,24,135000,Poor,TX,A Corp,9/11/17,5:32:00 PM,Pending,,,
504075856,60,149999,25,225000,Poor,UT,A Corp,9/11/17,5:47:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504075921,60,29999,32,210000,Poor,MD,A Corp,9/11/17,5:53:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504076722,25,29999,19,110000,Poor,WA,A Corp,9/11/17,6:47:00 PM,Open,,,
504076773,60,25000,30,124000,Fair,GA,A Corp,9/11/17,6:50:00 PM,Failed,,,
504076996,60,39000,167,675000,Poor,TX,E Corp,9/11/17,7:02:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504077329,60,74999,50,275000,Fair,MD,A Corp,9/11/17,7:23:00 PM,Activated,,,
504077694,25,74999,20,100000,Good,OH,D Corp,9/11/17,7:50:00 PM,Failed,,,
504077754,60,14999,22,350000,Poor,FL,A Corp,9/11/17,3:06:00 PM,Confirmed,Declined/Not Eligible,0.0,0.0
504081723,60,20000,53,170000,Good,PA,B Corp,9/11/17,5:20:00 AM,Failed,,,
504081859,60,150000,44,100000,Excellent,TX,C Corp,9/11/17,5:35:00 AM,Failed,,,
504081963,60,14999,188,132000,Poor,VA,A Corp,9/11/17,5:41:00 AM,Activated,,,
504082092,60,149999,127,500000,Poor,VA,E Corp,9/11/17,5:56:00 AM,Activated,,,
504082192,60,75000,114,1150000,Excellent,OK,A Corp,9/11/17,6:05:00 AM,Failed,,,
504082211,60,44999,25,160000,Poor,TX,A Corp,9/11/17,6:05:00 AM,Failed,,,
504082358,60,150000,24,454600,Fair,TX,A Corp,9/11/17,6:17:00 AM,Confirmed,Lost,0.0,0.0
504082903,60,44999,111,795000,Fair,VA,A Corp,9/11/17,6:50:00 AM,Confirmed,Lost,0.0,0.0
504083254,60,35000,33,100000,Excellent,IN,E Corp,9/11/17,7:05:00 AM,Failed,,,
504083515,60,29999,92,290000,Fair,MD,A Corp,9/11/17,7:20:00 AM,Failed,,,
504084042,60,149999,160,1800000,Excellent,SC,A Corp,9/11/17,7:41:00 AM,Failed,,,
504084151,60,74999,60,363615,Excellent,NJ,A Corp,9/11/17,7:47:00 AM,Failed,,,
504084322,25,25000,12,130000,Good,TX,B Corp,9/11/17,7:53:00 AM,Pending,,,
504084406,60,50000,90,500000,Poor,CA,A Corp,9/11/17,7:56:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504084686,60,44999,58,139000,Good,NY,A Corp,9/11/17,8:08:00 AM,Failed,,,
504084853,60,50000,59,130000,Excellent,CA,B Corp,9/11/17,8:14:00 AM,Activated,,,
504084871,60,20000,697,120000,Poor,PA,B Corp,9/11/17,8:17:00 AM,Pending,,,
504085020,60,149999,292,680000,Good,IL,E Corp,9/11/17,8:20:00 AM,Failed,,,
504085104,25,74999,19,165000,Good,MS,A Corp,9/11/17,8:23:00 AM,Failed,,,
504085149,60,100000,152,800000,Good,NJ,A Corp,9/11/17,8:26:00 AM,Open,,,
504085194,60,5000,32,250000,Fair,OH,A Corp,9/11/17,8:29:00 AM,Open,,,
504085364,60,44999,140,120000,Excellent,UT,E Corp,9/11/17,8:35:00 AM,Failed,,,
504085600,60,75000,35,180000,Poor,NY,B Corp,9/11/17,8:44:00 AM,Activated,,,
504085677,60,100000,308,360000,Poor,MN,E Corp,9/11/17,8:47:00 AM,Failed,,,
504085783,60,149999,49,4000000,Good,MI,E Corp,9/11/17,8:50:00 AM,Failed,,,
504086017,60,74999,49,1000000,Good,CA,D Corp,9/11/17,8:59:00 AM,Pending,,,
504086144,60,100000,474,475000,Fair,MA,B Corp,9/11/17,9:02:00 AM,Failed,,,
504086151,60,20000,94,120000,Poor,MS,B Corp,9/11/17,9:02:00 AM,Open,,,
504086516,60,74999,162,400000,Fair,WI,A Corp,9/11/17,9:14:00 AM,Failed,,,
504086611,60,50000,72,1400000,Good,IN,A Corp,9/11/17,9:17:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504086785,60,149999,181,1000000,Good,LA,A Corp,9/11/17,9:23:00 AM,Failed,,,
504087186,25,29999,19,100000,Poor,CT,A Corp,9/11/17,9:38:00 AM,Failed,,,
504087289,60,60000,102,800000,Fair,CA,B Corp,9/11/17,9:42:00 AM,Failed,,,
504087306,60,149999,62,225000,Good,NY,A Corp,9/11/17,9:42:00 AM,Failed,,,
504087352,25,200000,14,120000,Fair,TX,A Corp,9/11/17,9:44:00 AM,Failed,,,
504087391,60,74999,17,330000,Excellent,CT,A Corp,9/11/17,9:44:00 AM,Failed,,,
504087653,60,74999,116,200000,Poor,CA,B Corp,9/11/17,9:53:00 AM,Confirmed,Funded,23000.0,4600.0
504088187,60,149999,96,2600000,Poor,CA,E Corp,9/11/17,10:11:00 AM,Activated,,,
504088277,60,14999,55,560000,Good,IL,E Corp,9/11/17,10:14:00 AM,Open,,,
504088487,60,50000,18,700000,Poor,NY,C Corp,9/11/17,10:20:00 AM,Failed,,,
504088612,60,14999,192,150000,Fair,OH,B Corp,9/11/17,10:26:00 AM,Activated,,,
504088764,60,74999,240,130000,Poor,MI,B Corp,9/11/17,10:29:00 AM,Failed,,,
504088901,25,175000,13,120000,Excellent,MO,B Corp,9/11/17,10:35:00 AM,Failed,,,
504089085,60,29999,32,200000,Good,LA,A Corp,9/11/17,10:41:00 AM,Confirmed,Funded,26000.0,5200.0
504089232,25,100000,23,190000,Good,VA,B Corp,9/11/17,10:44:00 AM,Failed,,,
504089295,60,14999,28,110000,Fair,NY,E Corp,9/11/17,10:47:00 AM,Failed,,,
504089372,60,29999,19,200000,Good,NY,E Corp,9/11/17,10:50:00 AM,Open,,,
504089483,60,149999,233,120000,Poor,TX,C Corp,9/11/17,10:53:00 AM,Activated,,,
504089770,60,14999,68,150000,Excellent,CA,A Corp,9/11/17,11:02:00 AM,Failed,,,
504089944,60,10000,205,1000000,Good,CO,C Corp,9/11/17,11:08:00 AM,Failed,,,
504106890,60,15000,90,120000,Fair,FL,B Corp,9/12/17,5:23:00 AM,Failed,,,
504107032,60,100000,70,140000,Good,OH,E Corp,9/12/17,5:32:00 AM,Failed,,,
504108051,60,150000,77,1800000,Excellent,FL,A Corp,9/12/17,6:41:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504108130,60,10000,73,250000,Poor,NC,A Corp,9/12/17,6:44:00 AM,Failed,,,
504108274,60,50000,30,175000,Good,OK,E Corp,9/12/17,6:50:00 AM,Failed,,,
504108969,60,149999,438,375000,Fair,IN,A Corp,9/12/17,7:20:00 AM,Failed,,,
504108988,60,44999,40,425000,Excellent,CO,C Corp,9/12/17,7:23:00 AM,Failed,,,
504108996,60,14999,37,100000,Excellent,MN,D Corp,9/12/17,7:23:00 AM,Failed,,,
504109328,60,20000,37,317582,Poor,CA,B Corp,9/12/17,7:38:00 AM,Pending,,,
504109572,60,70000,143,190000,Fair,TX,B Corp,9/12/17,7:47:00 AM,Failed,,,
504110431,60,149999,338,216700,Poor,VA,E Corp,9/12/17,8:20:00 AM,Activated,,,
504110561,60,29999,63,450000,Good,TX,A Corp,9/12/17,8:26:00 AM,Pending,,,
504110954,60,100000,120,2000000,Excellent,MN,A Corp,9/12/17,8:38:00 AM,Failed,,,
504111078,60,74999,248,1500000,Poor,TX,A Corp,9/12/17,8:41:00 AM,Open,,,
504111266,60,100000,176,850000,Fair,PA,C Corp,9/12/17,8:44:00 AM,Open,,,
504111384,25,150000,13,110000,Fair,CA,A Corp,9/12/17,8:47:00 AM,Activated,,,
504111493,60,29999,148,100000,Poor,NJ,B Corp,9/12/17,8:50:00 AM,Failed,,,
504111554,60,74999,54,400000,Poor,MD,A Corp,9/12/17,8:53:00 AM,Failed,,,
504111714,60,74999,18,250000,Good,NY,C Corp,9/12/17,8:56:00 AM,Failed,,,
504111750,60,40000,53,200000,Poor,WI,A Corp,9/12/17,2:58:00 PM,Confirmed,Funded,8500.0,1700.0
504111875,60,35000,45,500000,Fair,VA,A Corp,9/12/17,9:02:00 AM,Open,,,
504112079,60,29999,104,1000000,Good,MN,D Corp,9/12/17,9:11:00 AM,Failed,,,
504112259,60,14999,32,120000,Poor,MD,A Corp,9/12/17,9:14:00 AM,Open,,,
504112269,60,25000,43,202000,Fair,AZ,A Corp,9/12/17,9:17:00 AM,Open,,,
504112347,60,200000,40,1100000,Fair,NJ,C Corp,9/12/17,9:17:00 AM,Activated,,,
504112375,60,25000,45,550000,Fair,IL,C Corp,9/12/17,9:20:00 AM,Open,,,
504112966,60,29999,79,125000,Fair,OK,B Corp,9/12/17,9:38:00 AM,Confirmed,Lost,0.0,0.0
504113002,60,5000,65,211000,Poor,NY,C Corp,9/12/17,9:38:00 AM,Activated,,,
504113014,60,200000,449,143122,Good,TX,B Corp,9/12/17,9:38:00 AM,Open,,,
504113189,60,75000,29,200000,Poor,OK,B Corp,9/12/17,9:44:00 AM,Failed,,,
504113243,60,30000,33,500000,Poor,NY,C Corp,9/12/17,9:47:00 AM,Failed,,,
504113540,60,14999,495,100000,Poor,CA,B Corp,9/12/17,9:56:00 AM,Open,,,
504113563,60,15000,37,250000,Fair,TX,B Corp,9/12/17,9:59:00 AM,Open,,,
504113841,60,10000,68,200000,Poor,CA,C Corp,9/12/17,10:08:00 AM,Failed,,,
504114033,60,29999,632,220000,Fair,VA,C Corp,9/12/17,10:14:00 AM,Failed,,,
504114186,60,90000,47,360000,Good,NY,A Corp,9/12/17,10:20:00 AM,Failed,,,
504114292,25,14999,14,168000,Poor,AL,B Corp,9/12/17,10:23:00 AM,Failed,,,
504114341,60,175000,124,1800000,Excellent,CA,A Corp,9/12/17,10:23:00 AM,Activated,,,
504114349,60,150000,25,325000,Excellent,DE,A Corp,9/12/17,10:23:00 AM,Open,,,
504114640,60,14999,17,250000,Fair,GA,A Corp,9/12/17,10:35:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504114999,60,70000,68,250000,Poor,IA,B Corp,9/12/17,10:47:00 AM,Failed,,,
504115070,60,30000,41,125000,Poor,CA,D Corp,9/12/17,10:47:00 AM,Open,,,
504115095,60,44999,61,100000,Excellent,TX,B Corp,9/12/17,10:50:00 AM,Failed,,,
504115140,60,150000,83,200000,Good,IL,B Corp,9/12/17,10:50:00 AM,Failed,,,
504115452,60,14999,245,150000,Good,CA,C Corp,9/12/17,11:02:00 AM,Activated,,,
504115524,60,150000,32,500000,Fair,IL,E Corp,9/12/17,11:05:00 AM,Activated,,,
504133264,60,74999,41,700000,Fair,WY,E Corp,9/13/17,5:56:00 AM,Failed,,,
504133428,60,44999,212,425000,Fair,IL,C Corp,9/13/17,6:08:00 AM,Failed,,,
504133607,60,44999,62,150000,Fair,RI,D Corp,9/13/17,6:17:00 AM,Failed,,,
504133615,60,100000,27,300000,Excellent,VA,A Corp,9/13/17,6:20:00 AM,Pending,,,
504133637,60,149999,128,4000000,Excellent,OH,E Corp,9/13/17,6:20:00 AM,Failed,,,
504133921,60,20000,96,120000,Poor,NJ,E Corp,9/13/17,6:32:00 AM,Pending,,,
504134180,60,100000,83,250000,Excellent,NJ,A Corp,9/13/17,6:44:00 AM,Failed,,,
504134546,60,15000,33,350000,Fair,TX,C Corp,9/13/17,6:59:00 AM,Failed,,,
504134732,60,120000,47,336000,Poor,UT,A Corp,9/13/17,7:08:00 AM,Failed,,,
504134912,60,149999,41,1500000,Fair,VA,A Corp,9/13/17,7:17:00 AM,Failed,,,
504135068,60,25000,32,100000,Excellent,CA,C Corp,9/13/17,7:23:00 AM,Failed,,,
504135310,60,5000,36,150000,Poor,AR,A Corp,9/13/17,7:35:00 AM,Failed,,,
504135392,60,10000,24,400000,Poor,CA,A Corp,9/13/17,7:38:00 AM,Failed,,,
504135907,60,74999,44,150000,Good,NJ,B Corp,9/13/17,7:59:00 AM,Failed,,,
504136001,25,74999,17,120000,Poor,IN,E Corp,9/13/17,8:02:00 AM,Failed,,,
504136022,60,12500,67,500000,Fair,NC,A Corp,9/13/17,3:51:00 PM,Open,,,
504136037,60,100000,29,200000,Poor,WA,E Corp,9/13/17,8:05:00 AM,Activated,,,
504136241,60,74999,641,250000,Excellent,TX,C Corp,9/13/17,8:11:00 AM,Failed,,,
504136251,25,50000,13,140000,Good,AL,B Corp,9/13/17,8:11:00 AM,Open,,,
504136433,60,14999,68,300000,Good,TX,E Corp,9/13/17,8:20:00 AM,Confirmed,Lost,0.0,0.0
